start_date_time,RCORR_P
2019-05-01 02:43:00,132.340
2019-05-01 02:44:00,133.890
2019-05-01 02:45:00,127.860
2019-05-01 02:46:00,130.090
2019-05-01 02:47:00,125.930
2019-05-01 02:48:00,129.410
2019-05-01 02:49:00,127.160
2019-05-01 02:50:00,134.450
2019-05-01 02:51:00,134.570
2019-05-01 02:52:00,123.150
2019-05-01 02:53:00,132.130
2019-05-01 02:54:00,123.870
2019-05-01 02:55:00,126.410
2019-05-01 02:56:00,126.480
2019-05-01 02:57:00,128.440
2019-05-01 02:58:00,122.810
2019-05-01 02:59:00,127.870
2019-05-01 03:00:00,131.980
2019-05-01 03:01:00,122.100
2019-05-01 03:02:00,126.440
2019-05-01 03:03:00,128.740
2019-05-01 03:04:00,129.640
2019-05-01 03:05:00,126.500
2019-05-01 03:06:00,129.020
2019-05-01 03:07:00,130.840
2019-05-01 03:08:00,137.710
2019-05-01 03:09:00,127.260
2019-05-01 03:10:00,125.980
2019-05-01 03:11:00,132.010
2019-05-01 03:12:00,132.420
2019-05-01 03:13:00,124.650
2019-05-01 03:14:00,117.290
2019-05-01 03:15:00,128.310
2019-05-01 03:16:00,125.420
2019-05-01 03:17:00,130.100
2019-05-01 03:18:00,124.620
2019-05-01 03:19:00,138.320
2019-05-01 03:20:00,127.110
2019-05-01 03:21:00,129.760
2019-05-01 03:22:00,132.000
2019-05-01 03:23:00,125.490
2019-05-01 03:24:00,128.320
2019-05-01 03:25:00,128.040
2019-05-01 03:26:00,125.120
2019-05-01 03:27:00,128.000
2019-05-01 03:28:00,124.780
2019-05-01 03:29:00,129.810
2019-05-01 03:30:00,126.020
2019-05-01 03:31:00,127.330
2019-05-01 03:32:00,123.710
2019-05-01 03:33:00,130.640
2019-05-01 03:34:00,134.790
2019-05-01 03:35:00,128.900
2019-05-01 03:36:00,124.290
2019-05-01 03:37:00,126.580
2019-05-01 03:38:00,123.830
2019-05-01 03:39:00,134.760
2019-05-01 03:40:00,125.160
2019-05-01 03:41:00,128.730
2019-05-01 03:42:00,128.720
2019-05-01 03:43:00,124.860
2019-05-01 03:44:00,127.650
2019-05-01 03:45:00,135.740
2019-05-01 03:46:00,130.060
2019-05-01 03:47:00,130.970
2019-05-01 03:48:00,133.000
2019-05-01 03:49:00,137.970
2019-05-01 03:50:00,132.030
2019-05-01 03:51:00,126.440
2019-05-01 03:52:00,124.150
2019-05-01 03:53:00,124.900
2019-05-01 03:54:00,124.920
2019-05-01 03:55:00,125.320
2019-05-01 03:56:00,131.670
2019-05-01 03:57:00,134.440
2019-05-01 03:58:00,122.880
2019-05-01 03:59:00,126.020
2019-05-01 04:00:00,130.780
2019-05-01 04:01:00,132.600
2019-05-01 04:02:00,124.760
2019-05-01 04:03:00,128.950
2019-05-01 04:04:00,128.570
2019-05-01 04:05:00,121.560
2019-05-01 04:06:00,131.270
2019-05-01 04:07:00,121.280
2019-05-01 04:08:00,123.310
2019-05-01 04:09:00,127.300
2019-05-01 04:10:00,133.800
2019-05-01 04:11:00,133.890
2019-05-01 04:12:00,123.600
2019-05-01 04:13:00,126.870
2019-05-01 04:14:00,123.290
2019-05-01 04:15:00,129.710
2019-05-01 04:16:00,129.470
2019-05-01 04:17:00,124.360
2019-05-01 04:18:00,121.970
2019-05-01 04:19:00,126.090
2019-05-01 04:20:00,126.450
2019-05-01 04:21:00,130.230
2019-05-01 04:22:00,128.900
2019-05-01 04:23:00,126.800
2019-05-01 04:24:00,127.500
2019-05-01 04:25:00,123.850
2019-05-01 04:26:00,136.280
2019-05-01 04:27:00,125.050
2019-05-01 04:28:00,130.410
2019-05-01 04:29:00,124.550
2019-05-01 04:30:00,123.860
2019-05-01 04:31:00,135.650
2019-05-01 04:32:00,126.750
2019-05-01 04:33:00,132.680
2019-05-01 04:34:00,130.500
2019-05-01 04:35:00,126.300
2019-05-01 04:36:00,129.500
2019-05-01 04:37:00,129.990
2019-05-01 04:38:00,131.940
2019-05-01 04:39:00,125.260
2019-05-01 04:40:00,129.230
2019-05-01 04:41:00,129.090
2019-05-01 04:42:00,123.910
2019-05-01 04:43:00,131.830
2019-05-01 04:44:00,125.870
2019-05-01 04:45:00,125.720
2019-05-01 04:46:00,122.780
2019-05-01 04:47:00,130.610
2019-05-01 04:48:00,127.830
2019-05-01 04:49:00,129.780
2019-05-01 04:50:00,126.570
2019-05-01 04:51:00,132.000
2019-05-01 04:52:00,129.460
2019-05-01 04:53:00,131.470
2019-05-01 04:54:00,129.410
2019-05-01 04:55:00,131.210
2019-05-01 04:56:00,124.500
2019-05-01 04:57:00,134.830
2019-05-01 04:58:00,121.350
2019-05-01 04:59:00,137.590
2019-05-01 05:00:00,129.070
2019-05-01 05:01:00,133.580
2019-05-01 05:02:00,131.880
2019-05-01 05:03:00,121.730
2019-05-01 05:04:00,121.730
2019-05-01 05:05:00,138.360
2019-05-01 05:06:00,128.400
2019-05-01 05:07:00,130.760
2019-05-01 05:08:00,131.180
2019-05-01 05:09:00,129.440
2019-05-01 05:10:00,117.960
2019-05-01 05:11:00,126.250
2019-05-01 05:12:00,126.260
2019-05-01 05:13:00,127.800
2019-05-01 05:14:00,131.270
2019-05-01 05:15:00,118.650
2019-05-01 05:16:00,126.990
2019-05-01 05:17:00,125.640
2019-05-01 05:18:00,119.930
2019-05-01 05:19:00,123.670
2019-05-01 05:20:00,130.900
2019-05-01 05:21:00,123.730
2019-05-01 05:22:00,128.740
2019-05-01 05:23:00,124.560
2019-05-01 05:24:00,120.020
2019-05-01 05:25:00,128.920
2019-05-01 05:26:00,137.330
2019-05-01 05:27:00,131.140
2019-05-01 05:28:00,130.710
2019-05-01 05:29:00,129.370
2019-05-01 05:30:00,124.980
2019-05-01 05:31:00,130.890
2019-05-01 05:32:00,132.630
2019-05-01 05:33:00,127.260
2019-05-01 05:34:00,128.290
2019-05-01 05:35:00,133.360
2019-05-01 05:36:00,129.170
2019-05-01 05:37:00,128.600
2019-05-01 05:38:00,126.500
2019-05-01 05:39:00,128.590
2019-05-01 05:40:00,138.360
2019-05-01 05:41:00,133.620
2019-05-01 05:42:00,132.430
2019-05-01 05:43:00,136.740
2019-05-01 05:44:00,130.440
2019-05-01 05:45:00,125.480
2019-05-01 05:46:00,134.780
2019-05-01 05:47:00,127.400
2019-05-01 05:48:00,130.220
2019-05-01 05:49:00,130.140
2019-05-01 05:50:00,128.040
2019-05-01 05:51:00,128.590
2019-05-01 05:52:00,131.610
2019-05-01 05:53:00,133.130
2019-05-01 05:54:00,123.860
2019-05-01 05:55:00,123.510
2019-05-01 05:56:00,130.020
2019-05-01 05:57:00,128.080
2019-05-01 05:58:00,125.930
2019-05-01 05:59:00,128.150
2019-05-01 06:00:00,126.070
2019-05-01 06:01:00,133.540
2019-05-01 06:02:00,130.660
2019-05-01 06:03:00,133.150
2019-05-01 06:04:00,132.080
2019-05-01 06:05:00,132.360
2019-05-01 06:06:00,134.150
2019-05-01 06:07:00,126.520
2019-05-01 06:08:00,124.300
2019-05-01 06:09:00,131.800
2019-05-01 06:10:00,119.800
2019-05-01 06:11:00,126.180
2019-05-01 06:12:00,141.850
2019-05-01 06:13:00,132.470
2019-05-01 06:14:00,136.150
2019-05-01 06:15:00,127.040
2019-05-01 06:16:00,125.630
2019-05-01 06:17:00,126.840
2019-05-01 06:18:00,131.470
2019-05-01 06:19:00,129.990
2019-05-01 06:20:00,132.190
2019-05-01 06:21:00,132.790
2019-05-01 06:22:00,130.560
2019-05-01 06:23:00,130.770
2019-05-01 06:24:00,126.660
2019-05-01 06:25:00,131.060
2019-05-01 06:26:00,131.020
2019-05-01 06:27:00,133.690
2019-05-01 06:28:00,128.940
2019-05-01 06:29:00,135.750
2019-05-01 06:30:00,132.730
2019-05-01 06:31:00,131.730
2019-05-01 06:32:00,127.960
2019-05-01 06:33:00,132.920
2019-05-01 06:34:00,134.670
2019-05-01 06:35:00,126.310
