start_date_time,RCORR_P
2022-03-01 00:00:00,110.653
2022-03-01 00:02:00,107.650
2022-03-01 00:04:00,110.411
2022-03-01 00:06:00,109.842
2022-03-01 00:08:00,110.125
2022-03-01 00:10:00,109.562
2022-03-01 00:12:00,107.896
2022-03-01 00:14:00,109.666
2022-03-01 00:16:00,108.632
2022-03-01 00:18:00,109.868
2022-03-01 00:20:00,113.840
2022-03-01 00:22:00,110.199
2022-03-01 00:24:00,109.263
2022-03-01 00:26:00,109.758
2022-03-01 00:28:00,107.754
2022-03-01 00:30:00,110.218
2022-03-01 00:32:00,107.383
2022-03-01 00:34:00,110.435
2022-03-01 00:36:00,108.334
2022-03-01 00:38:00,111.869
2022-03-01 00:40:00,109.262
2022-03-01 00:42:00,110.895
2022-03-01 00:44:00,110.891
2022-03-01 00:46:00,110.463
2022-03-01 00:48:00,108.157
2022-03-01 00:50:00,106.636
2022-03-01 00:52:00,108.835
2022-03-01 00:54:00,111.583
2022-03-01 00:56:00,107.782
2022-03-01 00:58:00,109.006
2022-03-01 01:00:00,111.686
2022-03-01 01:02:00,106.707
2022-03-01 01:04:00,109.360
2022-03-01 01:06:00,110.692
2022-03-01 01:08:00,109.138
2022-03-01 01:10:00,108.586
2022-03-01 01:12:00,108.234
2022-03-01 01:14:00,110.826
2022-03-01 01:16:00,111.511
2022-03-01 01:18:00,109.499
2022-03-01 01:20:00,108.744
2022-03-01 01:22:00,107.150
2022-03-01 01:24:00,107.897
2022-03-01 01:26:00,110.998
2022-03-01 01:28:00,111.492
2022-03-01 01:30:00,110.216
2022-03-01 01:32:00,106.876
2022-03-01 01:34:00,109.011
2022-03-01 01:36:00,110.396
2022-03-01 01:38:00,107.427
2022-03-01 01:40:00,109.353
2022-03-01 01:42:00,110.032
2022-03-01 01:44:00,109.294
2022-03-01 01:46:00,108.847
2022-03-01 01:48:00,107.712
2022-03-01 01:50:00,108.837
2022-03-01 01:52:00,107.171
2022-03-01 01:54:00,110.900
2022-03-01 01:56:00,109.980
2022-03-01 01:58:00,109.526
2022-03-01 02:00:00,107.640
2022-03-01 02:02:00,109.406
2022-03-01 02:04:00,110.942
2022-03-01 02:06:00,109.358
2022-03-01 02:08:00,112.159
2022-03-01 02:10:00,109.904
2022-03-01 02:12:00,110.984
2022-03-01 02:14:00,108.299
2022-03-01 02:16:00,107.359
2022-03-01 02:18:00,106.427
2022-03-01 02:20:00,107.258
2022-03-01 02:22:00,110.139
2022-03-01 02:24:00,108.149
2022-03-01 02:26:00,106.029
2022-03-01 02:28:00,106.191
2022-03-01 02:30:00,108.967
2022-03-01 02:32:00,108.357
2022-03-01 02:34:00,108.630
2022-03-01 02:36:00,108.921
2022-03-01 02:38:00,110.155
2022-03-01 02:40:00,109.606
2022-03-01 02:42:00,109.740
2022-03-01 02:44:00,108.334
2022-03-01 02:46:00,108.759
2022-03-01 02:48:00,108.529
2022-03-01 02:50:00,112.165
2022-03-01 02:52:00,110.962
2022-03-01 02:54:00,108.199
2022-03-01 02:56:00,110.969
2022-03-01 02:58:00,112.011
2022-03-01 03:00:00,107.204
2022-03-01 03:02:00,111.353
2022-03-01 03:04:00,107.193
2022-03-01 03:06:00,108.934
2022-03-01 03:08:00,109.938
2022-03-01 03:10:00,108.648
2022-03-01 03:12:00,107.282
2022-03-01 03:14:00,108.779
2022-03-01 03:16:00,109.300
2022-03-01 03:18:00,109.634
2022-03-01 03:20:00,107.063
2022-03-01 03:22:00,110.243
2022-03-01 03:24:00,109.267
2022-03-01 03:26:00,105.947
2022-03-01 03:28:00,110.800
2022-03-01 03:30:00,108.267
2022-03-01 03:32:00,107.909
2022-03-01 03:34:00,111.738
2022-03-01 03:36:00,111.147
2022-03-01 03:38:00,109.291
2022-03-01 03:40:00,110.139
2022-03-01 03:42:00,109.793
